date,total_value,cash,position_value
2024-03-20,893002.2819180001,893002.2819180001,0.0
2024-03-21,893002.2819180001,893002.2819180001,0.0
2024-03-22,893002.2819180001,893002.2819180001,0.0
2024-03-25,893002.2819180001,893002.2819180001,0.0
2024-03-26,893002.2819180001,893002.2819180001,0.0
2024-03-27,893002.2819180001,893002.2819180001,0.0
2024-03-28,893002.2819180001,893002.2819180001,0.0
2024-03-29,893002.2819180001,893002.2819180001,0.0
2024-04-01,893002.2819180001,893002.2819180001,0.0
2024-04-02,893002.2819180001,893002.2819180001,0.0
2024-04-03,893002.2819180001,893002.2819180001,0.0
2024-04-08,893002.2819180001,893002.2819180001,0.0
2024-04-09,893002.2819180001,893002.2819180001,0.0
2024-04-10,893002.2819180001,893002.2819180001,0.0
2024-04-11,893002.2819180001,893002.2819180001,0.0
2024-04-12,893002.2819180001,893002.2819180001,0.0
2024-04-15,893002.2819180001,893002.2819180001,0.0
2024-04-16,893002.2819180001,893002.2819180001,0.0
2024-04-17,893002.2819180001,893002.2819180001,0.0
2024-04-18,893002.2819180001,893002.2819180001,0.0
2024-04-19,893002.2819180001,893002.2819180001,0.0
2024-04-22,893002.2819180001,893002.2819180001,0.0
2024-04-23,893002.2819180001,893002.2819180001,0.0
2024-04-24,892614.3069705,720219.3069705,172395.0
2024-04-25,893994.3069705,720219.3069705,173775.0
2024-04-26,895404.3069705,720219.3069705,175185.0
2024-04-29,897054.3069705,720219.3069705,176835.0
2024-04-30,894894.3069705,720219.3069705,174675.0
2024-05-06,898284.3069705,720219.3069705,178065.0
2024-05-07,898584.3069705,720219.3069705,178365.0
2024-05-08,896664.3069705,720219.3069705,176445.0
2024-05-09,897834.3069705,720219.3069705,177615.0
2024-05-10,899604.3069705,720219.3069705,179385.0
2024-05-13,898764.3069705,720219.3069705,178545.0
2024-05-14,897744.3069705,720219.3069705,177525.0
2024-05-15,896334.3069705,720219.3069705,176115.0
2024-05-16,899964.3069705,720219.3069705,179745.0
2024-05-17,906414.3069705,720219.3069705,186195.0
2024-05-20,907194.3069705,720219.3069705,186975.0
2024-05-21,907014.3069705,720219.3069705,186795.0
2024-05-22,907014.3069705,720219.3069705,186795.0
2024-05-23,905154.3069705,720219.3069705,184935.0
2024-05-24,902484.3069705,720219.3069705,182265.0
2024-05-27,903114.3069705,720219.3069705,182895.0
2024-05-28,902094.3069705,720219.3069705,181875.0
2024-05-29,901224.3069705,720219.3069705,181005.0
2024-05-30,900264.3069705,720219.3069705,180045.0
2024-05-31,900024.3069705,720219.3069705,179805.0
2024-06-03,899619.805683,899619.805683,0.0
2024-06-04,899619.805683,899619.805683,0.0
2024-06-05,899619.805683,899619.805683,0.0
2024-06-06,899619.805683,899619.805683,0.0
2024-06-07,899619.805683,899619.805683,0.0
2024-06-11,899619.805683,899619.805683,0.0
2024-06-12,899619.805683,899619.805683,0.0
2024-06-13,899619.805683,899619.805683,0.0
2024-06-14,899619.805683,899619.805683,0.0
2024-06-17,899619.805683,899619.805683,0.0
2024-06-18,899619.805683,899619.805683,0.0
2024-06-19,899619.805683,899619.805683,0.0
2024-06-20,899619.805683,899619.805683,0.0
2024-06-21,899619.805683,899619.805683,0.0
2024-06-24,899619.805683,899619.805683,0.0
2024-06-25,899619.805683,899619.805683,0.0
2024-06-26,899619.805683,899619.805683,0.0
2024-06-27,899619.805683,899619.805683,0.0
2024-06-28,899619.805683,899619.805683,0.0
2024-07-01,899619.805683,899619.805683,0.0
2024-07-02,899619.805683,899619.805683,0.0
2024-07-03,899619.805683,899619.805683,0.0
2024-07-04,899222.5136655,722687.5136655,176535.0
2024-07-05,896642.5136655,722687.5136655,173955.0
2024-07-08,895802.5136655,722687.5136655,173115.0
2024-07-09,897273.697803,897273.697803,0.0
2024-07-10,897273.697803,897273.697803,0.0
2024-07-11,897273.697803,897273.697803,0.0
2024-07-12,896871.6797354999,718236.6797354999,178635.0
2024-07-15,896421.6797354999,718236.6797354999,178185.0
2024-07-16,892401.6797354999,718236.6797354999,174165.0
2024-07-17,895701.6797354999,718236.6797354999,177465.0
2024-07-18,895941.6797354999,718236.6797354999,177705.0
2024-07-19,897921.6797354999,718236.6797354999,179685.0
2024-07-22,897831.6797354999,718236.6797354999,179595.0
2024-07-23,897201.6797354999,718236.6797354999,178965.0
2024-07-24,896511.6797354999,718236.6797354999,178275.0
2024-07-25,896541.6797354999,718236.6797354999,178305.0
2024-07-26,896556.6797354999,718236.6797354999,178320.0
2024-07-29,897246.6797354999,718236.6797354999,179010.0
2024-07-30,897276.6797354999,718236.6797354999,179040.0
2024-07-31,900966.6797354999,718236.6797354999,182730.0
2024-08-01,900816.6797354999,718236.6797354999,182580.0
2024-08-02,898746.6797354999,718236.6797354999,180510.0
2024-08-05,899286.6797354999,718236.6797354999,181050.0
2024-08-06,895986.6797354999,718236.6797354999,177750.0
